API,latitude,longitude,Operator,County,Municipality,Marcellus,Insp Id,Viol Id,Enf Id,Date Inspected,Date Violation,Violation Code,Violation Desc,Envl Health Safety Desc,Insp Comment,Violation Comment,Date Resolved
003-01167,,,RWF OIL INC,Allegheny,Robinson,N,1609976,510860,221788,2/27/2007,2/27/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,"cannot locate, no production report",,8/1/2007
003-01167,,,RWF OIL INC,Allegheny,Robinson,N,1609976,510859,228520,2/27/2007,2/27/2007,212PRODRPT,Failure to submit annual production report,Administrative,"cannot locate, no production report",,8/1/2007
003-01169,,,RWF OIL INC,Allegheny,Robinson,N,1609980,510870,221785,2/27/2007,2/27/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,abandoned well,,8/1/2007
003-01169,,,RWF OIL INC,Allegheny,Robinson,N,1609980,510868,221785,2/27/2007,2/27/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-01169,,,RWF OIL INC,Allegheny,Robinson,N,1609980,510868,228520,2/27/2007,2/27/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-01169,,,RWF OIL INC,Allegheny,Robinson,N,1609980,510867,221785,2/27/2007,2/27/2007,203TAG,"Failure to affix, in a permanent manner, a registration number on a well within 60 days of registration",Administrative,abandoned well,,8/1/2007
003-01169,,,RWF OIL INC,Allegheny,Robinson,N,1609980,510869,228520,2/27/2007,2/27/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01169,,,RWF OIL INC,Allegheny,Robinson,N,1609980,510869,221785,2/27/2007,2/27/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01170,,,RWF OIL INC,Allegheny,Robinson,N,1609983,510871,221783,2/27/2007,2/27/2007,203TAG,"Failure to affix, in a permanent manner, a registration number on a well within 60 days of registration",Administrative,abandoned well,,8/1/2007
003-01170,,,RWF OIL INC,Allegheny,Robinson,N,1609983,510872,221783,2/27/2007,2/27/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-01170,,,RWF OIL INC,Allegheny,Robinson,N,1609983,510872,228520,2/27/2007,2/27/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-01170,,,RWF OIL INC,Allegheny,Robinson,N,1609983,510873,221783,2/27/2007,2/27/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01170,,,RWF OIL INC,Allegheny,Robinson,N,1609983,510873,228520,2/27/2007,2/27/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01170,,,RWF OIL INC,Allegheny,Robinson,N,1609983,510874,221783,2/27/2007,2/27/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,abandoned well,,8/1/2007
003-01171,,,RWF OIL INC,Allegheny,Kilbuck,N,1609989,510877,228520,2/8/2007,2/8/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-01171,,,RWF OIL INC,Allegheny,Kilbuck,N,1609989,510879,221771,2/8/2007,2/8/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,abandoned well,,8/1/2007
003-01171,,,RWF OIL INC,Allegheny,Kilbuck,N,1609989,510876,221771,2/8/2007,2/8/2007,203TAG,"Failure to affix, in a permanent manner, a registration number on a well within 60 days of registration",Administrative,abandoned well,,8/1/2007
003-01171,,,RWF OIL INC,Allegheny,Kilbuck,N,1609989,510877,221771,2/8/2007,2/8/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-01171,,,RWF OIL INC,Allegheny,Kilbuck,N,1609989,510878,228520,2/8/2007,2/8/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01171,,,RWF OIL INC,Allegheny,Kilbuck,N,1609989,510878,221771,2/8/2007,2/8/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01172,,,RWF OIL INC,Allegheny,Kilbuck,N,1610000,510883,221774,2/8/2007,2/8/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,abandoned well,,8/1/2007
003-01172,,,RWF OIL INC,Allegheny,Kilbuck,N,1610000,510880,221774,2/8/2007,2/8/2007,203TAG,"Failure to affix, in a permanent manner, a registration number on a well within 60 days of registration",Administrative,abandoned well,,8/1/2007
003-01172,,,RWF OIL INC,Allegheny,Kilbuck,N,1610000,510881,221774,2/8/2007,2/8/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-01172,,,RWF OIL INC,Allegheny,Kilbuck,N,1610000,510881,228520,2/8/2007,2/8/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-01172,,,RWF OIL INC,Allegheny,Kilbuck,N,1610000,510882,221774,2/8/2007,2/8/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01172,,,RWF OIL INC,Allegheny,Kilbuck,N,1610000,510882,228520,2/8/2007,2/8/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01173,,,RWF OIL INC,Allegheny,Kilbuck,N,1610006,510886,228520,2/8/2007,2/8/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01173,,,RWF OIL INC,Allegheny,Kilbuck,N,1610006,510886,221773,2/8/2007,2/8/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01173,,,RWF OIL INC,Allegheny,Kilbuck,N,1610006,510885,228520,2/8/2007,2/8/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-01173,,,RWF OIL INC,Allegheny,Kilbuck,N,1610006,510884,221773,2/8/2007,2/8/2007,203TAG,"Failure to affix, in a permanent manner, a registration number on a well within 60 days of registration",Administrative,abandoned well,,8/1/2007
003-01173,,,RWF OIL INC,Allegheny,Kilbuck,N,1610006,510887,221773,2/8/2007,2/8/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,abandoned well,,8/1/2007
003-01173,,,RWF OIL INC,Allegheny,Kilbuck,N,1610006,510885,221773,2/8/2007,2/8/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-01174,40.53001986,-80.15400346,RWF OIL INC,Allegheny,Aleppo,N,1610011,510892,221772,2/8/2007,2/8/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01174,40.53001986,-80.15400346,RWF OIL INC,Allegheny,Aleppo,N,1610011,510893,221772,2/8/2007,2/8/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,abandoned well,,8/1/2007
003-01174,40.53001986,-80.15400346,RWF OIL INC,Allegheny,Aleppo,N,1610011,510892,228520,2/8/2007,2/8/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01174,40.53001986,-80.15400346,RWF OIL INC,Allegheny,Aleppo,N,1610011,510891,228520,2/8/2007,2/8/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-01174,40.53001986,-80.15400346,RWF OIL INC,Allegheny,Aleppo,N,1610011,510890,221772,2/8/2007,2/8/2007,203TAG,"Failure to affix, in a permanent manner, a registration number on a well within 60 days of registration",Administrative,abandoned well,,8/1/2007
003-01174,40.53001986,-80.15400346,RWF OIL INC,Allegheny,Aleppo,N,1610011,510891,221772,2/8/2007,2/8/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-01175,,,RWF OIL INC,Allegheny,Aleppo,N,1610014,510894,221775,2/8/2007,2/8/2007,212PRODRPT,Failure to submit annual production report,Administrative,"cannot locate, no production report",,8/1/2007
003-01175,,,RWF OIL INC,Allegheny,Aleppo,N,1610014,510894,228520,2/8/2007,2/8/2007,212PRODRPT,Failure to submit annual production report,Administrative,"cannot locate, no production report",,8/1/2007
003-01175,,,RWF OIL INC,Allegheny,Aleppo,N,1610014,510895,221775,2/8/2007,2/8/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,"cannot locate, no production report",,8/1/2007
003-01176,,,RWF OIL INC,Allegheny,Kennedy,N,1610017,510896,221782,2/27/2007,2/27/2007,203TAG,"Failure to affix, in a permanent manner, a registration number on a well within 60 days of registration",Administrative,abandoned well,,8/1/2007
003-01176,,,RWF OIL INC,Allegheny,Kennedy,N,1610017,510897,221782,2/27/2007,2/27/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-01176,,,RWF OIL INC,Allegheny,Kennedy,N,1610017,510897,228520,2/27/2007,2/27/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-01176,,,RWF OIL INC,Allegheny,Kennedy,N,1610017,510898,221782,2/27/2007,2/27/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01176,,,RWF OIL INC,Allegheny,Kennedy,N,1610017,510898,228520,2/27/2007,2/27/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01176,,,RWF OIL INC,Allegheny,Kennedy,N,1610017,510899,221782,2/27/2007,2/27/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,abandoned well,,8/1/2007
003-01177,,,RWF OIL INC,Allegheny,Kennedy,N,1610019,510901,221784,2/27/2007,2/27/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-01177,,,RWF OIL INC,Allegheny,Kennedy,N,1610019,510902,221784,2/27/2007,2/27/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01177,,,RWF OIL INC,Allegheny,Kennedy,N,1610019,510902,228520,2/27/2007,2/27/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01177,,,RWF OIL INC,Allegheny,Kennedy,N,1610019,510900,221784,2/27/2007,2/27/2007,203TAG,"Failure to affix, in a permanent manner, a registration number on a well within 60 days of registration",Administrative,abandoned well,,8/1/2007
003-01177,,,RWF OIL INC,Allegheny,Kennedy,N,1610019,510903,221784,2/27/2007,2/27/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,abandoned well,,8/1/2007
003-01177,,,RWF OIL INC,Allegheny,Kennedy,N,1610019,510901,228520,2/27/2007,2/27/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-01178,,,RWF OIL INC,Allegheny,Kennedy,N,1610021,510907,221780,2/27/2007,2/27/2007,509,"Failure to comply w/ order, CO&A, hindrance to personnel, misrepresentation under OGA",Administrative,abandoned well,,8/1/2007
003-01178,,,RWF OIL INC,Allegheny,Kennedy,N,1610021,510906,221780,2/27/2007,2/27/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01178,,,RWF OIL INC,Allegheny,Kennedy,N,1610021,510906,228520,2/27/2007,2/27/2007,212PRODRPT,Failure to submit annual production report,Administrative,abandoned well,,8/1/2007
003-01178,,,RWF OIL INC,Allegheny,Kennedy,N,1610021,510904,221780,2/27/2007,2/27/2007,203TAG,"Failure to affix, in a permanent manner, a registration number on a well within 60 days of registration",Administrative,abandoned well,,8/1/2007
003-01178,,,RWF OIL INC,Allegheny,Kennedy,N,1610021,510905,221780,2/27/2007,2/27/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-01178,,,RWF OIL INC,Allegheny,Kennedy,N,1610021,510905,228520,2/27/2007,2/27/2007,210UNPLUG,Failure to plug a well upon abandonment,Administrative,abandoned well,,8/1/2007
003-21399,40.4853751,-79.7243283,PENNECO OIL CO INC,Allegheny,Plum,N,1736449,547758,240497,9/16/2008,9/16/2008,401CSL,Discharge of pollultional material to waters of Commonwealth.,Environmental Health & Safety,,,10/16/2008
003-21399,40.4853751,-79.7243283,PENNECO OIL CO INC,Allegheny,Plum,N,1736449,547758,238330,9/16/2008,9/16/2008,401CSL,Discharge of pollultional material to waters of Commonwealth.,Environmental Health & Safety,,,10/16/2008
003-21512,40.48815276,-79.72378119,HUNTLEY & HUNTLEY INC,Allegheny,Plum,N,1671998,529461,228853,11/29/2007,11/29/2007,91.33A,Failure to notify DEP of pollution incident. No phone call made forthwith,Administrative,,,12/13/2007
003-21512,40.48815276,-79.72378119,HUNTLEY & HUNTLEY INC,Allegheny,Plum,N,1671998,529463,228853,11/29/2007,11/29/2007,91.33B,Failure to take measures to mitigate spill impact and/or clean up w/in 15 days,Environmental Health & Safety,,,12/13/2007
003-21512,40.48815276,-79.72378119,HUNTLEY & HUNTLEY INC,Allegheny,Plum,N,1671998,529465,228853,11/29/2007,11/29/2007,401CSL,Discharge of pollultional material to waters of Commonwealth.,Environmental Health & Safety,,,12/13/2007
003-21512,40.48815276,-79.72378119,HUNTLEY & HUNTLEY INC,Allegheny,Plum,N,1671998,529464,228853,11/29/2007,11/29/2007,91.34A,"Failure to take all necessary measures to prevent spill. Inadequate diking, potential pollution",Environmental Health & Safety,,,12/13/2007
003-21691,40.57893809,-79.82159796,HUNTLEY & HUNTLEY INC,Allegheny,Indiana,N,1659759,525764,226686,10/12/2007,10/12/2007,206REST,Failure to restore site w/in 9 months of completion of drilling or plugging,Environmental Health & Safety,,,1/16/2008
003-21691,40.57893809,-79.82159796,HUNTLEY & HUNTLEY INC,Allegheny,Indiana,N,1659759,525763,226686,10/12/2007,10/12/2007,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,,,1/16/2008
003-21769,40.39185389,-79.75299083,HUNTLEY & HUNTLEY INC,Allegheny,Monroeville,N,1710140,540103,234378,5/30/2008,5/30/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,,,8/20/2008
003-21769,40.39185389,-79.75299083,HUNTLEY & HUNTLEY INC,Allegheny,Monroeville,N,1710140,540103,249445,5/30/2008,5/30/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,,,8/20/2008
003-21774,40.42415912,-79.77103575,PENNECO OIL CO INC,Allegheny,Monroeville,N,1731961,546550,237654,8/29/2008,8/29/2008,78.64,Inadequate containment of oil tank,Administrative,"Site restored, no dike around oil tank",,9/12/2008
003-21774,40.42415912,-79.77103575,PENNECO OIL CO INC,Allegheny,Monroeville,N,1731961,546550,251213,8/29/2008,8/29/2008,78.64,Inadequate containment of oil tank,Administrative,"Site restored, no dike around oil tank",,9/12/2008
003-21816,40.41949529,-79.7737553,ACTAGON CORP,Allegheny,Monroeville,N,1723225,544011,242224,7/23/2008,7/23/2008,78.64,Inadequate containment of oil tank,Administrative,"Site restored, E/S viols, no dike",,8/29/2008
003-21816,40.41949529,-79.7737553,ACTAGON CORP,Allegheny,Monroeville,N,1659755,525762,226685,10/19/2007,10/19/2007,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,,,8/29/2008
003-21816,40.41949529,-79.7737553,ACTAGON CORP,Allegheny,Monroeville,N,1723225,544011,236287,7/23/2008,7/23/2008,78.64,Inadequate containment of oil tank,Administrative,"Site restored, E/S viols, no dike",,8/29/2008
003-21816,40.41949529,-79.7737553,ACTAGON CORP,Allegheny,Monroeville,N,1723225,544010,242224,7/23/2008,7/23/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,"Site restored, E/S viols, no dike",,8/29/2008
003-21816,40.41949529,-79.7737553,ACTAGON CORP,Allegheny,Monroeville,N,1659755,525762,242224,10/19/2007,10/19/2007,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,,,8/29/2008
003-21816,40.41949529,-79.7737553,ACTAGON CORP,Allegheny,Monroeville,N,1723225,544010,236287,7/23/2008,7/23/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,"Site restored, E/S viols, no dike",,8/29/2008
003-21817,40.41507589,-79.7698274,ACTAGON CORP,Allegheny,Monroeville,N,1723239,544021,236300,7/23/2008,7/23/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,"Site restored, E/S issues, no dike",,9/17/2008
003-21817,40.41507589,-79.7698274,ACTAGON CORP,Allegheny,Monroeville,N,1723239,544022,236300,7/23/2008,7/23/2008,78.64,Inadequate containment of oil tank,Administrative,"Site restored, E/S issues, no dike",,9/17/2008
003-21825,40.41717865,-79.77440255,ACTAGON CORP,Allegheny,Monroeville,N,1723227,544014,236291,7/23/2008,7/23/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,"Site restored, E/S issues, no well tag",,9/17/2008
003-21825,40.41717865,-79.77440255,ACTAGON CORP,Allegheny,Monroeville,N,1723227,544015,236291,7/23/2008,7/23/2008,201TAG,"Failure to install, in a permanent manner, the permit number on a completed well",Administrative,"Site restored, E/S issues, no well tag",,9/17/2008
003-21826,40.41440923,-79.77339975,ACTAGON CORP,Allegheny,Monroeville,N,1723233,544017,236295,7/23/2008,7/23/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,"Site restored, E/S issues on road",,9/17/2008
003-21845,40.41191759,-79.77131357,ACTAGON CORP,Allegheny,Monroeville,N,1723238,544020,236297,7/23/2008,7/23/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,"site restored, E/S issues on road",,9/17/2008
003-21878,40.40399263,-79.74796007,HUNTLEY & HUNTLEY INC,Allegheny,Monroeville,N,1690169,534163,249445,3/4/2008,3/4/2008,301CSL,"Stream discharge of IW, includes drill cuttings, oil, brine and/or silt",Environmental Health & Safety,,,6/9/2008
003-21878,40.40399263,-79.74796007,HUNTLEY & HUNTLEY INC,Allegheny,Monroeville,N,1690169,534160,231296,3/4/2008,3/4/2008,102.4INADPLN,E&S Plan not adequate,Administrative,,,6/9/2008
003-21878,40.40399263,-79.74796007,HUNTLEY & HUNTLEY INC,Allegheny,Monroeville,N,1690169,534160,249445,3/4/2008,3/4/2008,102.4INADPLN,E&S Plan not adequate,Administrative,,,6/9/2008
003-21878,40.40399263,-79.74796007,HUNTLEY & HUNTLEY INC,Allegheny,Monroeville,N,1690169,534161,231296,3/4/2008,3/4/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,,,6/9/2008
003-21878,40.40399263,-79.74796007,HUNTLEY & HUNTLEY INC,Allegheny,Monroeville,N,1690169,534162,231296,3/4/2008,3/4/2008,205B,Drilling w/in 100 ft of surface water or wetland w/o variance,Administrative,,,6/9/2008
003-21878,40.40399263,-79.74796007,HUNTLEY & HUNTLEY INC,Allegheny,Monroeville,N,1690169,534162,249445,3/4/2008,3/4/2008,205B,Drilling w/in 100 ft of surface water or wetland w/o variance,Administrative,,,6/9/2008
003-21878,40.40399263,-79.74796007,HUNTLEY & HUNTLEY INC,Allegheny,Monroeville,N,1690169,534163,231296,3/4/2008,3/4/2008,301CSL,"Stream discharge of IW, includes drill cuttings, oil, brine and/or silt",Environmental Health & Safety,,,6/9/2008
003-21879,40.40082044,-79.74849897,HUNTLEY & HUNTLEY INC,Allegheny,Monroeville,N,1690173,534166,249445,3/4/2008,3/4/2008,102.4INADPLN,E&S Plan not adequate,Administrative,,,6/10/2008
003-21879,40.40082044,-79.74849897,HUNTLEY & HUNTLEY INC,Allegheny,Monroeville,N,1690173,534166,231298,3/4/2008,3/4/2008,102.4INADPLN,E&S Plan not adequate,Administrative,,,6/10/2008
003-21879,40.40082044,-79.74849897,HUNTLEY & HUNTLEY INC,Allegheny,Monroeville,N,1690173,534165,231298,3/4/2008,3/4/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,,,4/30/2008
003-21879,40.40082044,-79.74849897,HUNTLEY & HUNTLEY INC,Allegheny,Monroeville,N,1690173,534165,249445,3/4/2008,3/4/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,,,4/30/2008
003-21879,40.40082044,-79.74849897,HUNTLEY & HUNTLEY INC,Allegheny,Monroeville,N,1690173,534167,249445,3/4/2008,3/4/2008,301CSL,"Stream discharge of IW, includes drill cuttings, oil, brine and/or silt",Environmental Health & Safety,,,4/30/2009
003-21893,40.56866602,-79.84044027,MARCO DRILLING INC,Allegheny,Indiana,N,1765937,555165,242306,1/29/2009,1/29/2009,78.64,Inadequate containment of oil tank,Administrative,No secondary containment provided for oil tanks.,,6/19/2009
003-21902,40.28177198,-79.84231635,HUNTLEY & HUNTLEY INC,Allegheny,Elizabeth,N,1724712,544417,253571,7/29/2008,7/29/2008,301CSL,"Stream discharge of IW, includes drill cuttings, oil, brine and/or silt",Environmental Health & Safety,"complaint inspection, site restored, E/S viols noted, silt discharge",,8/8/2008
003-21902,40.28177198,-79.84231635,HUNTLEY & HUNTLEY INC,Allegheny,Elizabeth,N,1724712,544417,236520,7/29/2008,7/29/2008,301CSL,"Stream discharge of IW, includes drill cuttings, oil, brine and/or silt",Environmental Health & Safety,"complaint inspection, site restored, E/S viols noted, silt discharge",,8/8/2008
003-21902,40.28177198,-79.84231635,HUNTLEY & HUNTLEY INC,Allegheny,Elizabeth,N,1724712,544416,253571,7/29/2008,7/29/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,"complaint inspection, site restored, E/S viols noted, silt discharge",,8/8/2008
003-21902,40.28177198,-79.84231635,HUNTLEY & HUNTLEY INC,Allegheny,Elizabeth,N,1724712,544416,236520,7/29/2008,7/29/2008,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,"complaint inspection, site restored, E/S viols noted, silt discharge",,8/8/2008
003-21979,40.56802436,-79.83689016,MARCO DRILLING INC,Allegheny,Indiana,N,1838139,574141,251671,8/4/2009,8/4/2009,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,"Drilling was completed on 2/5/2009
Well appears to be in production at this time.
Site is not restored and vegetation has not achieved 70 % uniform coverage but the site is under 9 months.
The access road is in good condition.  Operator failed to maintain",,10/23/2009
003-21994,40.65790105,-79.78108523,PHILLIPS EXPLORATION INC,Allegheny,Fawn,Y,1785044,561139,245137,4/16/2009,4/16/2009,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,,,7/21/2009
003-21994,40.65790105,-79.78108523,PHILLIPS EXPLORATION INC,Allegheny,Fawn,Y,1785044,561140,245137,4/16/2009,4/16/2009,401CSL,Discharge of pollultional material to waters of Commonwealth.,Environmental Health & Safety,,,7/21/2009
003-22001,40.56629661,-79.8424459,MARCO DRILLING INC,Allegheny,Indiana,N,1838128,574139,251670,8/4/2009,8/4/2009,102.4,"Failure to minimize accelerated erosion, implement E&S plan, maintain E&S controls. Failure to stabilize site until total site restoration under OGA Sec 206(c)(d)",Environmental Health & Safety,"Drilling was completed on 2/19/2009
Well appears to be in production at this time.
The access road is in good condition.  Operator failed to implement and maintain E&S controls leading to sedimentation being carried off site and around the controls.  The",,10/23/2009
